modelo,h,NSE,CRPS
canónico+GRU,1,0.935,0.55
persistencia,1,0.955,1.151
climatología,1,0.532,4.504
canónico+GRU,3,0.876,0.792
persistencia,3,0.827,2.335
climatología,3,0.532,4.497
canónico+GRU,7,0.788,1.101
persistencia,7,0.614,3.703
climatología,7,0.533,4.496
canónico+GRU,14,0.755,1.226
persistencia,14,0.457,4.568
climatología,14,0.527,4.452
Chronos-2,1,0.955,0.413
Chronos-2,3,0.849,0.741
Chronos-2,7,0.689,1.098
Chronos-2,14,0.591,1.357
TimesFM-2.5,1,0.954,0.393
TimesFM-2.5,3,0.834,0.759
TimesFM-2.5,7,0.633,1.201
TimesFM-2.5,14,0.436,1.549
